title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,course_url,instructor_name,course_id,description
Facebook Pixel Tracking Shopify ~ Apple iOS14 ~ Ecommerce,True,189.99,Hindi ~ Setup Your Business Manager & Facebook Pixel Events after IOS changes & Fix Disbaled Ad Accounts in 2022,12718.0,4.65,41.0,12.0,8.0,57.0,2022-01-18,2022-01-22,Marketing,Social Media Marketing,Facebook Ads,/course/facebook-ads-pixel-shopify-apple-ios14-ecommerce-wordpress/,"Yasir Ahmed, M.B.A",1,"facebook pixel tracking shopify ~ apple ios14 ~ ecommerce hindi ~ setup your business manager & facebook pixel events after ios changes & fix disbaled ad accounts in 2022 2022-01-18 2022-01-22 marketing social media marketing facebook ads /course/facebook-ads-pixel-shopify-apple-ios14-ecommerce-wordpress/ yasir ahmed, m.b.a"
Free Beginner Guitar Lessons: Step-By-Step Guidance,False,0.0,For Electric Guitar or Acoustic Guitar:  Learn The Basics From #1 Ranked Guitar Lessons. Guitarra,647.0,4.3,11.0,2.0,16.0,118.0,2022-06-11,2022-06-10,Music,Instruments,Guitar,/course/free-beginner-guitar-lessons-step-by-step-guidance/,Erich Andreas,2,free beginner guitar lessons: step-by-step guidance for electric guitar or acoustic guitar:  learn the basics from #1 ranked guitar lessons. guitarra 2022-06-11 2022-06-10 music instruments guitar /course/free-beginner-guitar-lessons-step-by-step-guidance/ erich andreas
"TypeScript do básico ao avançado (c/ React, Express)",True,89.9,"Aprenda TypeScript na prática, integrando com diversos frameworks do mercado (React, Express) e ainda criando projetos!",2143.0,4.7566137,406.0,75.0,226.0,844.0,2022-01-05,2022-02-01,Development,Web Development,Typescript,/course/typescript-do-basico-ao-avancado-c-react-express/,Matheus Battisti,3,"typescript do básico ao avançado (c/ react, express) aprenda typescript na prática, integrando com diversos frameworks do mercado (react, express) e ainda criando projetos! 2022-01-05 2022-02-01 development web development typescript /course/typescript-do-basico-ao-avancado-c-react-express/ matheus battisti"
Gestão Financeira para Pequenas e Médias Empresas,True,79.9,Aprenda o que você precisa de gestão financeira para POTENCIALIZAR o  LUCRO e ELIMINAR a PERDA de DINHEIRO no seu CAIXA.,376.0,4.8,78.0,20.0,43.0,416.0,2022-03-10,2022-07-07,Finance & Accounting,Finance,Financial Management,/course/gestao-financeira-para-pequenas-medias-empresas/,Junior Fuganholi,4,gestão financeira para pequenas e médias empresas aprenda o que você precisa de gestão financeira para potencializar o  lucro e eliminar a perda de dinheiro no seu caixa. 2022-03-10 2022-07-07 finance & accounting finance financial management /course/gestao-financeira-para-pequenas-medias-empresas/ junior fuganholi
2-Sided E-commerce Marketplace Case Study | Sramana Mitra,False,0.0,Lesson From The Trenches On How To Build A Two-Sided E-commerce Marketplace Startup,745.0,5.0,6.0,6.0,5.0,37.0,2022-01-06,2022-01-26,Business,Entrepreneurship,Entrepreneurship Fundamentals,/course/2sidedmarketplacecasestudy/,Sramana Mitra,5,2-sided e-commerce marketplace case study | sramana mitra lesson from the trenches on how to build a two-sided e-commerce marketplace startup 2022-01-06 2022-01-26 business entrepreneurship entrepreneurship fundamentals /course/2sidedmarketplacecasestudy/ sramana mitra
Python from absolute beginner to a comfortable Intermediate,True,19.99,"In this course,  I want to help you level up your python programming skills. I am confident this is the course you need!",77.0,4.642857,7.0,7.0,37.0,524.0,2022-02-25,2022-03-12,IT & Software,IT Certifications,Certified Associate in Python Programming (PCAP),/course/python-from-absolute-beginner-to-a-comfortable-intermediate/,Kojo Justine,6,"python from absolute beginner to a comfortable intermediate in this course,  i want to help you level up your python programming skills. i am confident this is the course you need! 2022-02-25 2022-03-12 it & software it certifications certified associate in python programming (pcap) /course/python-from-absolute-beginner-to-a-comfortable-intermediate/ kojo justine"
Click Bank Affiliate Marketing For Beginners Without Website,True,19.99,Easy Affiliate Marketing System for Beginners to follow for Making Passive Profit With Zero Experience,1846.0,4.25,49.0,17.0,31.0,192.0,2022-01-31,2022-04-12,Marketing,Affiliate Marketing,Affiliate Marketing,/course/clickbank-affiliate-marketing-masterry-course/,Sabin Timsina,7,click bank affiliate marketing for beginners without website easy affiliate marketing system for beginners to follow for making passive profit with zero experience 2022-01-31 2022-04-12 marketing affiliate marketing affiliate marketing /course/clickbank-affiliate-marketing-masterry-course/ sabin timsina
Excel VBA (Macro): 1 Hour Crash Course for Absolute Beginner,True,29.98,"Learn only the essentials of macro writing, recording and concepts to quickly automate your daily tasks",27.0,4.285714,7.0,3.0,18.0,58.0,2022-02-11,2022-04-02,Office Productivity,Microsoft,Excel VBA,/course/excel-vba-macro-1-hour-crash-course-for-absolute-beginner/,Eugene - VBA Office Worker,8,"excel vba (macro): 1 hour crash course for absolute beginner learn only the essentials of macro writing, recording and concepts to quickly automate your daily tasks 2022-02-11 2022-04-02 office productivity microsoft excel vba /course/excel-vba-macro-1-hour-crash-course-for-absolute-beginner/ eugene - vba office worker"
Solana Blockchain Developer Bootcamp with Rust + JavaScript,True,69.99,"Become an Expert Solana Blockchain Developer with One Course! Master Web3, DApps, NFTs, DeFi, and More!",4512.0,4.4074073,496.0,75.0,109.0,540.0,2022-02-25,2022-07-15,IT & Software,Network & Security,DApp,/course/solana-developer/,Learn With Arjun,9,"solana blockchain developer bootcamp with rust + javascript become an expert solana blockchain developer with one course! master web3, dapps, nfts, defi, and more! 2022-02-25 2022-07-15 it & software network & security dapp /course/solana-developer/ learn with arjun"
Day to Day activities of an Agile Scrum team in real project,True,99.99,"If you want to experience how different agile scrum teams work in real world projects in IT, this is the course for you!",11155.0,3.8333333,43.0,11.0,8.0,164.0,2022-01-22,2022-09-11,IT & Software,Other IT & Software,Scrum,/course/day-to-day-activities-of-an-agile-scrum-team-in-real-project/,Obify Consulting,10,"day to day activities of an agile scrum team in real project if you want to experience how different agile scrum teams work in real world projects in it, this is the course for you! 2022-01-22 2022-09-11 it & software other it & software scrum /course/day-to-day-activities-of-an-agile-scrum-team-in-real-project/ obify consulting"
Cisco CCNA 200-301 Practice Exam | Networking,True,199.99,"Cisco CCNA course help you get the newest Cisco CCNA 200-301 certification and learn ccna, networking, network protocol.",128.0,4.75,29.0,10.0,0.0,0.0,2022-02-08,2022-01-31,IT & Software,IT Certifications,Cisco CCNA,/course/cisco-ccna-200-301-practice-exam-networking/,Oak Academy,11,"cisco ccna 200-301 practice exam | networking cisco ccna course help you get the newest cisco ccna 200-301 certification and learn ccna, networking, network protocol. 2022-02-08 2022-01-31 it & software it certifications cisco ccna /course/cisco-ccna-200-301-practice-exam-networking/ oak academy"
Mis Primeras Palabras en Inglés / My First Words in English,True,19.99,¡Tu viaje hacia tus metas en inglés comienza aquí! Your journey towards your English goals starts here!,3.0,5.0,1.0,1.0,37.0,124.0,2022-02-22,2022-03-24,Teaching & Academics,Language Learning,English Language,/course/mis-primeras-palabras-en-ingles-my-first-words-in-english/,Jeff the English Trainer,12,mis primeras palabras en inglés / my first words in english ¡tu viaje hacia tus metas en inglés comienza aquí! your journey towards your english goals starts here! 2022-02-22 2022-03-24 teaching & academics language learning english language /course/mis-primeras-palabras-en-ingles-my-first-words-in-english/ jeff the english trainer
Booking Loads for New Owner Operators,True,149.99,Learn the Fundamentals of How to Books Loads as an Owner Operator,111.0,4.75,16.0,5.0,30.0,98.0,2022-02-16,2022-02-19,Business,Entrepreneurship,Freight Broker,/course/booking-loads-for-new-owner-operators/,L.D. Sewell,13,booking loads for new owner operators learn the fundamentals of how to books loads as an owner operator 2022-02-16 2022-02-19 business entrepreneurship freight broker /course/booking-loads-for-new-owner-operators/ l.d. sewell
Il Mixaggio: Teoria e Pratica con Esercitazioni,True,99.99,Impara a far suonare bene la tua musica,95.0,4.75,25.0,10.0,28.0,248.0,2022-02-21,2022-04-16,Music,Music Production,Music Mixing,/course/il-mixaggio-teoria-e-pratica-con-esercitazioni/,Marco Siciliano,14,il mixaggio: teoria e pratica con esercitazioni impara a far suonare bene la tua musica 2022-02-21 2022-04-16 music music production music mixing /course/il-mixaggio-teoria-e-pratica-con-esercitazioni/ marco siciliano
Certificate in Compliance Management,True,99.99,Learn the Fundamentals of Compliance Management in Organizations,131.0,3.8095238,49.0,19.0,11.0,88.0,2022-02-24,2022-08-16,Business,Business Law,Compliance Management,/course/certificate-in-compliance-management/,AJK Consulting,15,certificate in compliance management learn the fundamentals of compliance management in organizations 2022-02-24 2022-08-16 business business law compliance management /course/certificate-in-compliance-management/ ajk consulting
The AutoCAD Electrical 2021/2022 Complete Course,True,19.99,Complete course for learning AutoCAD electrical 2022 quickly & professionally,132.0,4.2083335,34.0,29.0,55.0,359.0,2022-03-27,2022-10-08,Design,Design Tools,AutoCAD Electrical,/course/the-autocad-electrical-20212022-complete-course/,Digital Online School,16,the autocad electrical 2021/2022 complete course complete course for learning autocad electrical 2022 quickly & professionally 2022-03-27 2022-10-08 design design tools autocad electrical /course/the-autocad-electrical-20212022-complete-course/ digital online school
2022 Python全攻略,True,3.0,超過40小時的內容，學習Python語法、程式邏輯、識別Python資料類別與使用時機，用正規表示式處理資料、處理文件系統、運用Python網路爬蟲、連結SQL資料庫、處理Excel和csv，寄送email，一步步實作成為Python達人！,2137.0,4.7291665,299.0,42.0,191.0,2522.0,2022-04-08,2022-07-25,Development,Programming Languages,Python,/course/python-master/,Wilson Ren,17,2022 python全攻略 超過40小時的內容，學習python語法、程式邏輯、識別python資料類別與使用時機，用正規表示式處理資料、處理文件系統、運用python網路爬蟲、連結sql資料庫、處理excel和csv，寄送email，一步步實作成為python達人！ 2022-04-08 2022-07-25 development programming languages python /course/python-master/ wilson ren
Health Safety and Environment Essentials - HSE Level 1,True,19.99,All you need to know as a newbie to Health Safety and Environment Management,1260.0,4.748062,143.0,106.0,17.0,90.0,2022-04-08,2022-04-06,Personal Development,Career Development,Workplace Health and Safety,/course/health-safety-and-environment-essentials-hse-level-1/,Oluseye Kolawole,18,health safety and environment essentials - hse level 1 all you need to know as a newbie to health safety and environment management 2022-04-08 2022-04-06 personal development career development workplace health and safety /course/health-safety-and-environment-essentials-hse-level-1/ oluseye kolawole
Advanced English Vocabulary,True,199.99,500 High-Level Words/Phrases to take your English to the NEXT LEVEL,2668.0,4.7909093,135.0,31.0,52.0,1114.0,2022-04-18,2022-10-04,Teaching & Academics,Language Learning,English Vocabulary,/course/advanced-english-vocabulary/,Last Minute English: Francis Carlisle,19,advanced english vocabulary 500 high-level words/phrases to take your english to the next level 2022-04-18 2022-10-04 teaching & academics language learning english vocabulary /course/advanced-english-vocabulary/ last minute english: francis carlisle
English pronunciation,True,39.99,كورس نطق شامل,90.0,4.3,16.0,4.0,23.0,76.0,2022-04-03,2022-05-10,Teaching & Academics,Language Learning,English Pronunciation,/course/english-pronunciation-d/,Muhammed Gomaa,20,english pronunciation كورس نطق شامل 2022-04-03 2022-05-10 teaching & academics language learning english pronunciation /course/english-pronunciation-d/ muhammed gomaa
Database design for beginners : Microsoft SQL Server  | SSMS,True,29.99,Design Databases using  Microsoft SQL Server and SQL Server Management Studio,1337.0,4.357143,7.0,2.0,14.0,115.0,2022-04-06,2022-04-06,Development,Database Design & Development,Database Design,/course/database-design-for-beginners-microsoft-sql-server-ssms/,Bluelime Learning Solutions,21,database design for beginners : microsoft sql server  | ssms design databases using  microsoft sql server and sql server management studio 2022-04-06 2022-04-06 development database design & development database design /course/database-design-for-beginners-microsoft-sql-server-ssms/ bluelime learning solutions
"Learn Solidity in 2 Hours, Become a Blockchain Developer",True,19.99,Write Smart Contracts with Solidity.,121.0,4.55,25.0,15.0,34.0,139.0,2022-04-12,2022-04-11,Development,Programming Languages,Solidity,/course/learn-solidity-in-2-hours/,Christo Abhinav Kumar,22,"learn solidity in 2 hours, become a blockchain developer write smart contracts with solidity. 2022-04-12 2022-04-11 development programming languages solidity /course/learn-solidity-in-2-hours/ christo abhinav kumar"
Curso Completo: Arquivologia Do Zero ao AVANÇADO - 2022,True,529.9,Curso Completo Profissionalizante de Arquivologia na Prática + Exercícios práticos,11.0,4.428571,7.0,3.0,6.0,63.0,2022-05-03,2022-04-30,Office Productivity,Other Office Productivity,Office Productivity,/course/curso-completo-arquivologia-do-zero-ao-avancado-2022/,Roberto Junior,23,curso completo: arquivologia do zero ao avançado - 2022 curso completo profissionalizante de arquivologia na prática + exercícios práticos 2022-05-03 2022-04-30 office productivity other office productivity office productivity /course/curso-completo-arquivologia-do-zero-ao-avancado-2022/ roberto junior
LookML A-Z: Google Looker for Developers,True,19.99,"Learn LookML, Google Looker's modeling language, to get complete control of the visualization process | LookML mastery",8166.0,4.8,12.0,2.0,51.0,232.0,2022-06-09,2022-06-09,Development,Data Science,Google Looker,/course/lookml-google-looker-for-developers/,Start-Tech Academy,24,"lookml a-z: google looker for developers learn lookml, google looker's modeling language, to get complete control of the visualization process | lookml mastery 2022-06-09 2022-06-09 development data science google looker /course/lookml-google-looker-for-developers/ start-tech academy"
Become a Professional Babysitter,True,19.99,Complete Guide for Babysitting,2126.0,4.6666665,21.0,12.0,19.0,45.0,2022-06-16,2022-06-14,Personal Development,Career Development,Babysitting,/course/become-a-professional-babysitter/,Ammara Javaid,25,become a professional babysitter complete guide for babysitting 2022-06-16 2022-06-14 personal development career development babysitting /course/become-a-professional-babysitter/ ammara javaid
Instagram OSINT Hacking: Ethical Hackers and OSINTeers,True,59.99,Reveal sensitive information about your targets on Instagram like real world expert hackers,123.0,4.3235292,21.0,5.0,59.0,269.0,2022-06-28,2022-10-03,IT & Software,Network & Security,Open-Source Intelligence (OSINT),/course/instagram-osint-hacking/,Mostafa Ahmad,26,instagram osint hacking: ethical hackers and osinteers reveal sensitive information about your targets on instagram like real world expert hackers 2022-06-28 2022-10-03 it & software network & security open-source intelligence (osint) /course/instagram-osint-hacking/ mostafa ahmad
MuleSoft - MCD Developer Certification,True,799.0,Your are one step before appearing for MCD certification,2.0,2.5,1.0,1.0,0.0,0.0,2022-07-08,2022-07-03,IT & Software,IT Certifications,MuleSoft Certified Developer (MCD),/course/mulesoft-mcd-developer-certification/,Vishal Mujumdar,27,mulesoft - mcd developer certification your are one step before appearing for mcd certification 2022-07-08 2022-07-03 it & software it certifications mulesoft certified developer (mcd) /course/mulesoft-mcd-developer-certification/ vishal mujumdar
Blender for Scientists | learn 3D scientific Illustration,True,19.99,"Learn how to make 3D illustrations for your research paper using Blender | 3D Modeling, Animation, Rendering",71.0,4.9444447,9.0,6.0,11.0,187.0,2022-07-06,2022-07-20,Design,3D & Animation,Blender,/course/blenderforscientists/,Rafeeque Mavoor,28,"blender for scientists | learn 3d scientific illustration learn how to make 3d illustrations for your research paper using blender | 3d modeling, animation, rendering 2022-07-06 2022-07-20 design 3d & animation blender /course/blenderforscientists/ rafeeque mavoor"
